"","country","site","Bact_S","Fung_S","Plant_S","Omn_S","Pred_S","Unk_S","Total_S","Bact_R","Fung_R","Plant_R","Omn_R","Pred_R","Unk_R","Total_R","M10","P10","transect","Vitality","district","X","Y","sample_ID","senecio"
"1","BE",100,0.602580200116973,0,0.200860066705658,0,0.0502150166764144,0.200860066705658,1.0545153502047,29.300382335343,13.5232533855429,193.833298526115,0,4.50775112851431,22.5387556425716,263.703441018087,0.781592117934891,0.826488706,"DHN1",3,"Flemish dunes",3.00407,51.26768,"100_BE",0
"2","BE",101,0.753706428241306,0.251235476080435,0.452223856944784,0,0.200988380864348,0.100494190432174,1.75864833256305,131.878368077247,63.8121135857647,138.259579435824,0,0,19.1436340757294,353.093695174565,0.798357321841845,0.334698055,"DHN1",4,"Flemish dunes",3.00507,51.26806,"101_BE",0
"3","BE",140,2.51577363637319,0.051342319109657,3.85067393322428,0.205369276438628,0.410738552877256,0.924161743973827,7.95805946199684,271.501850521266,13.352550025636,498.495200957079,8.9017000170907,8.9017000170907,89.017000170907,890.17000170907,0.767326968023691,0.70230179,"ODK_BAD2",3,"Flemish dunes",2.66411,51.13215,"140_BE",1
"4","BE",146,1.70991683891363,0.050291671732754,1.76020851064639,0.201166686931016,0.150875015198262,0.301750030396524,4.17420875381858,51.4198216787229,8.56997027978715,422.785200469499,0,0,42.8498513989358,525.624843826945,0.753508575301814,0.638917263,"ODK_BAD2",2,"Flemish dunes",2.66127,51.13124,"146_BE",0
"5","BE",148,3.25701868609526,0.101781833940477,0.865145588494052,0.152672750910715,0.101781833940477,0.407127335761907,4.88552802914288,288.932278648938,40.6537879506043,332.489908596014,11.6153679858869,4.3557629947076,69.6922079153216,747.739314091472,0.784461111111111,0.821538462,"ODK_BAD2",2,"Flemish dunes",2.65955,51.13078,"148_BE",0
"6","BE",150,2.4536183070432,0.920106865141198,0.460053432570599,0.408936384507199,0.255585240317,0.408936384507199,4.90723661408639,193.263174804985,249.755487440289,249.755487440289,14.8663980619219,2.97327961238439,101.091506821069,811.705334180938,0.795718541058038,0.486943164,"ODK_BAD2",3,"Flemish dunes",2.65856,51.13043,"150_BE",1
"7","BE",162,0.822333594583081,0.0513958496614426,0.20558339864577,0.154187548984328,0.0513958496614426,0.154187548984328,1.43908379052039,96.2535065434346,36.095064953788,597.573853123823,4.01056277264311,0,76.200692680219,810.133680073908,0.762717856817629,0.705581157,"DHN_K",3,"Flemish dunes",3.03919,51.28213,"162_BE",0
"8","BE",164,0.562029218335494,0,0.664216348941947,0.0510935653032267,0.102187130606453,0.204374261212907,1.58390052440003,232.782159877404,68.5714889561345,508.872628569209,9.02256433633348,0,59.548924619801,878.797766358881,0.790732591636157,0.259959142,"DHN_K",3,"Flemish dunes",3.04045,51.28262,"164_BE",0
"9","BE",166,1.085769183341,0.361923061113665,0.568736238892902,0.258516472224047,0.103406588889619,0.258516472224047,2.63686801668528,270.062565880522,77.4962145570194,72.7994742808364,4.69674027618299,2.3483701380915,25.8320715190065,453.235436651659,0.810394186609726,0.391393443,"DHN_K",3,"Flemish dunes",3.04185,51.28339,"166_BE",1
"10","BE",168,2.16619966217626,0.464185641894913,0.206304729731072,0.103152364865536,0.361033277029376,0.309457094596608,3.61033277029376,53.8625122490901,67.9136024010267,37.4695737384975,14.0510901519366,0,32.7858770211853,206.082655561736,0.782162244391423,0.721765914,"DHN_K",4,"Flemish dunes",3.04291,51.28414,"168_BE",0
"11","BE",169,0.45384273426816,0.15128091142272,0.30256182284544,0.05042697047424,0.15128091142272,0.20170788189696,1.31110123233024,133.16326242637,21.3061219882191,213.061219882191,0,0,53.2653049705478,420.795909267328,0.818209670272759,0.362429811,"DHN_K",2,"Flemish dunes",3.04384,51.284,"169_BE",0
"12","BE",170,0.77712003354779,0.310848013419116,0.207232008946077,0.103616004473039,0.0518080022365194,0.0518080022365194,1.50243206485906,121.960386364491,162.613848485988,76.7898728961608,4.51705134683299,2.25852567341649,33.8778851012474,402.017569868136,0.762559947323696,0.702356557,"DHN_K",4,"Flemish dunes",3.04461,51.28458,"170_BE",0
"13","BE",172,1.65551993405542,0.25867498969616,0.25867498969616,0.103469995878464,0.155204993817696,0.051734997939232,2.48327990108314,108.41097488214,21.1533609526126,78.003018512759,1.32208505953829,0,27.763786250304,236.653225657353,0.786361370138302,0.620460358,"DHN_K",3,"Flemish dunes",3.04644,51.28565,"172_BE",1
"14","BE",173,1.99194326452608,0.255377341605907,1.32796217635072,0.459679214890633,0.408603746569452,0.153226404963544,4.59679214890633,86.3501462786089,51.4426403361925,407.866648379812,0,0,58.7915889556486,604.451023950262,0.765543762012055,0.606122449,"DHN_K",3,"Flemish dunes",3.04786,51.28612,"173_BE",1
"15","BE",4,5.01027658181854,0.40900216994437,1.68713395102053,0.204501084972185,0.255626356215231,0.869129611131787,8.43566975510264,597.416811621869,239.907538525318,1662.88852683725,25.8723816056715,25.8723816056715,291.652301736661,2843.60994193244,0.750914565892631,0.337920489,"ODK_BAD1",2,"Flemish dunes",2.65561,51.12914,"4_BE",1
"16","BE",5,5.99234794147797,1.37113046118564,5.63686967376317,0.304695658041253,0.304695658041253,1.57426089987981,15.1840002923891,478.091796567996,451.531141203107,672.869935910512,26.5606553648886,17.7071035765924,141.656828612739,1788.41746123584,0.768508925719628,0.792820513,"ODK_BAD1",2,"Flemish dunes",2.65485,51.12908,"5_BE",0
